362617984,1,159456,2025-04-10,1000.0,0
126994912,1,786345,2024-08-21,45.0,0
693493963,1,258963,2024-08-22,1000.0,0
414221568,2,258963,2024-08-24,78.0,0
572994582,4,258963,2024-08-23,52.0,0
985043987,1,951753,2024-08-30,5000.0,0
404772136,2,951753,2024-08-30,4500.0,0
148054560,3,951753,2024-08-29,45.0,6
378001780,4,951753,2024-08-31,100.0,0
574968761,5,951753,2024-08-24,150.0,0
627113791,4,951847,2024-08-30,450.0,0
205577179,3,951847,2024-09-06,145.0,8
383486569,1,852636,2024-08-30,78.0,0
353817168,3,852636,2024-09-06,45.0,2
